"EmployeeNumber","Attrition","Age","Department","JobRole","Gender","MaritalStatus","BusinessTravel","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","AgeBand","TenureBand","IncomeBand","DistanceBand","PromotionWaitBand","AttritionFlag"
1164,"No",35,"Human Resources","Human Resources","Male","Single","Travel_Rarely",8,4,"Technical Degree",3,3,1,3,4323,1,"No",17,3,2,0,6,2,1,5,4,1,4,"35-44","3-5 years","3000-4999","6-10","0-1 years",0
1165,"Yes",29,"Sales","Sales Executive","Female","Married","Travel_Rarely",23,1,"Life Sciences",4,2,3,1,7336,1,"No",13,3,1,1,11,3,1,11,8,3,10,"25-34","10+ years","7000-9999","21+","2-3 years",1
1166,"No",40,"Research & Development","Research Director","Female","Single","Travel_Frequently",9,4,"Medical",2,3,3,3,13499,9,"No",17,3,3,0,20,3,2,18,7,2,13,"35-44","10+ years","10000+","6-10","2-3 years",0
1167,"Yes",42,"Sales","Sales Executive","Male","Single","Travel_Frequently",12,3,"Life Sciences",3,3,4,1,13758,0,"Yes",12,3,2,0,22,2,2,21,9,13,14,"35-44","10+ years","10000+","11-20","6+ years",1
1171,"No",42,"Sales","Sales Executive","Male","Single","Travel_Rarely",4,4,"Marketing",2,3,2,1,5155,7,"No",13,3,4,0,9,3,4,6,4,1,5,"35-44","6-10 years","5000-6999","1-5","0-1 years",0
1172,"No",35,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",1,4,"Medical",4,2,1,3,2258,6,"No",12,3,2,1,10,2,3,8,0,1,7,"35-44","6-10 years","Under 3000","1-5","0-1 years",0
1173,"No",24,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",24,3,"Medical",4,3,1,2,3597,8,"No",22,4,4,0,6,2,3,4,3,1,2,"Under 25","3-5 years","3000-4999","21+","0-1 years",0
1175,"Yes",28,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",12,1,"Life Sciences",3,3,1,4,2515,1,"Yes",11,3,4,0,1,4,2,1,1,0,0,"25-34","1-2 years","Under 3000","11-20","0-1 years",1
1177,"No",26,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",3,4,"Medical",1,4,1,4,4420,1,"No",22,4,2,1,8,2,3,8,7,0,7,"25-34","6-10 years","3000-4999","1-5","0-1 years",0
1179,"No",30,"Sales","Sales Executive","Male","Married","Travel_Rarely",10,3,"Marketing",3,2,2,3,6578,1,"No",18,3,1,1,10,3,3,10,3,1,4,"25-34","6-10 years","5000-6999","6-10","0-1 years",0
1180,"No",40,"Research & Development","Research Scientist","Female","Married","Travel_Frequently",26,2,"Medical",3,2,2,4,4422,3,"Yes",13,3,4,1,16,3,1,1,1,0,0,"35-44","1-2 years","3000-4999","21+","0-1 years",0
1182,"No",35,"Research & Development","Manufacturing Director","Male","Divorced","Travel_Rarely",2,3,"Life Sciences",3,2,3,2,10274,2,"No",18,3,2,1,15,2,4,7,7,6,4,"35-44","6-10 years","10000+","1-5","6+ years",0
1184,"No",34,"Research & Development","Healthcare Representative","Male","Single","Travel_Frequently",1,3,"Medical",4,2,2,1,5343,0,"No",20,4,3,0,14,3,3,13,9,4,9,"25-34","10+ years","5000-6999","1-5","4-5 years",0
1185,"No",35,"Research & Development","Laboratory Technician","Male","Married","Travel_Frequently",4,4,"Other",4,2,1,4,2376,1,"No",13,3,2,1,2,2,4,2,2,2,2,"35-44","1-2 years","Under 3000","1-5","2-3 years",0
1188,"Yes",43,"Sales","Sales Executive","Female","Single","Travel_Rarely",9,3,"Marketing",1,1,2,3,5346,8,"No",13,3,2,0,7,2,2,4,3,1,3,"35-44","3-5 years","5000-6999","6-10","0-1 years",1
1190,"No",32,"Sales","Sales Representative","Female","Divorced","Non-Travel",2,1,"Life Sciences",3,3,1,1,2827,1,"No",12,3,3,3,1,3,3,1,0,0,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",0
1191,"No",56,"Research & Development","Manager","Female","Divorced","Travel_Rarely",4,4,"Technical Degree",4,3,5,1,19943,4,"No",13,3,4,1,28,2,3,5,2,4,2,"55+","3-5 years","10000+","1-5","4-5 years",0
1192,"No",29,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",6,1,"Medical",2,3,1,4,3131,1,"No",13,3,1,1,10,5,3,10,8,0,8,"25-34","6-10 years","3000-4999","6-10","0-1 years",0
1193,"No",19,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",9,2,"Life Sciences",3,3,1,1,2552,1,"No",25,4,3,0,1,4,3,1,1,0,0,"Under 25","1-2 years","Under 3000","6-10","0-1 years",0
1195,"No",45,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",7,3,"Medical",1,3,1,3,4477,4,"Yes",19,3,3,1,7,2,2,3,2,0,2,"45-54","3-5 years","3000-4999","6-10","0-1 years",0
1196,"No",37,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",1,3,"Life Sciences",4,2,2,4,6474,1,"No",13,3,2,1,14,2,2,14,8,3,11,"35-44","10+ years","5000-6999","1-5","2-3 years",0
1198,"No",20,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",3,3,"Life Sciences",1,2,1,3,3033,1,"No",12,3,1,0,2,2,2,2,2,1,2,"Under 25","1-2 years","3000-4999","1-5","0-1 years",0
1200,"Yes",44,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",10,4,"Life Sciences",3,3,1,3,2936,1,"Yes",11,3,3,0,6,4,3,6,4,0,2,"35-44","6-10 years","Under 3000","6-10","0-1 years",1
1201,"No",53,"Research & Development","Manager","Female","Divorced","Travel_Rarely",7,2,"Medical",4,3,5,3,18606,3,"No",18,3,2,1,26,6,3,7,7,4,7,"45-54","6-10 years","10000+","6-10","4-5 years",0
1202,"No",29,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",15,1,"Life Sciences",2,1,1,4,2168,0,"Yes",18,3,1,1,6,2,2,5,4,1,3,"25-34","3-5 years","Under 3000","11-20","0-1 years",0
1203,"Yes",22,"Research & Development","Research Scientist","Male","Married","Travel_Frequently",3,4,"Life Sciences",3,2,1,4,2853,0,"Yes",11,3,2,1,1,5,3,0,0,0,0,"Under 25","Under 1 year","Under 3000","1-5","0-1 years",1
1204,"No",46,"Sales","Manager","Female","Married","Travel_Rarely",2,3,"Marketing",3,3,4,1,17048,8,"No",23,4,1,0,28,2,3,26,15,15,9,"45-54","10+ years","10000+","1-5","6+ years",0
1206,"No",44,"Research & Development","Research Scientist","Male","Single","Non-Travel",17,3,"Life Sciences",4,1,1,3,2290,2,"No",13,3,4,0,6,3,3,0,0,0,0,"35-44","Under 1 year","Under 3000","11-20","0-1 years",0
1207,"No",33,"Human Resources","Human Resources","Male","Married","Travel_Rarely",2,3,"Human Resources",2,3,1,3,3600,1,"No",13,3,4,1,5,2,3,5,4,1,4,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
1210,"Yes",41,"Research & Development","Research Scientist","Male","Divorced","Non-Travel",5,2,"Life Sciences",1,2,1,1,2107,6,"No",17,3,1,1,5,2,1,1,0,0,0,"35-44","1-2 years","Under 3000","1-5","0-1 years",1
1211,"No",30,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",29,4,"Life Sciences",3,3,2,1,4115,8,"No",19,3,3,3,8,3,3,4,3,0,3,"25-34","3-5 years","3000-4999","21+","0-1 years",0
1212,"No",40,"Sales","Sales Executive","Male","Married","Travel_Frequently",2,4,"Medical",2,3,2,2,4327,5,"No",12,3,4,3,5,2,3,0,0,0,0,"35-44","Under 1 year","3000-4999","1-5","0-1 years",0
1215,"No",50,"Research & Development","Manager","Female","Married","Travel_Frequently",2,3,"Medical",4,3,4,1,17856,2,"No",22,4,3,1,32,3,3,2,2,2,2,"45-54","1-2 years","10000+","1-5","2-3 years",0
1216,"No",28,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",19,4,"Medical",4,2,1,1,3196,1,"No",12,3,3,3,6,2,3,6,5,3,3,"25-34","6-10 years","3000-4999","11-20","2-3 years",0
1217,"No",46,"Research & Development","Research Director","Male","Married","Travel_Rarely",15,2,"Life Sciences",4,3,5,2,19081,5,"No",11,3,1,1,25,2,3,4,2,0,3,"45-54","3-5 years","10000+","11-20","0-1 years",0
1218,"No",35,"Sales","Sales Executive","Male","Married","Travel_Rarely",17,4,"Life Sciences",3,3,2,1,8966,3,"Yes",15,3,4,3,15,2,3,7,7,1,7,"35-44","6-10 years","7000-9999","11-20","0-1 years",0
1219,"Yes",24,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",17,2,"Life Sciences",4,3,1,2,2210,1,"No",13,3,1,1,1,3,1,1,0,0,0,"Under 25","1-2 years","Under 3000","11-20","0-1 years",1
1220,"No",33,"Sales","Sales Executive","Female","Married","Travel_Frequently",25,3,"Medical",2,3,2,3,4539,1,"No",12,3,1,1,10,3,2,10,7,0,1,"25-34","6-10 years","3000-4999","21+","0-1 years",0
1221,"No",36,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",6,4,"Life Sciences",3,1,1,3,2741,1,"No",14,3,3,1,7,4,3,7,7,1,7,"35-44","6-10 years","Under 3000","6-10","0-1 years",0
1224,"No",30,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",7,4,"Life Sciences",3,3,2,3,3491,1,"No",13,3,1,3,10,4,2,10,7,8,9,"25-34","6-10 years","3000-4999","6-10","6+ years",0
1225,"No",44,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",29,4,"Other",4,3,2,4,4541,1,"No",25,4,2,0,20,3,3,20,11,13,17,"35-44","10+ years","3000-4999","21+","6+ years",0
1226,"No",20,"Sales","Sales Representative","Male","Single","Travel_Rarely",21,3,"Marketing",3,4,1,4,2678,1,"No",17,3,4,0,2,2,3,2,1,2,2,"Under 25","1-2 years","Under 3000","21+","2-3 years",0
1228,"No",46,"Research & Development","Manufacturing Director","Male","Divorced","Travel_Rarely",2,4,"Technical Degree",4,3,2,4,7379,2,"No",11,3,3,1,12,3,2,6,3,1,4,"45-54","6-10 years","7000-9999","1-5","0-1 years",0
1231,"No",42,"Human Resources","Human Resources","Male","Married","Non-Travel",2,5,"Medical",4,4,2,1,6272,7,"No",16,3,1,1,10,3,4,4,3,0,3,"35-44","3-5 years","5000-6999","1-5","0-1 years",0
1233,"No",60,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",7,4,"Marketing",2,4,2,4,5220,0,"Yes",18,3,2,1,12,3,3,11,7,1,9,"55+","10+ years","5000-6999","6-10","0-1 years",0
1234,"No",32,"Research & Development","Laboratory Technician","Female","Married","Travel_Frequently",13,3,"Other",3,2,1,2,2743,1,"No",20,4,3,1,2,2,3,2,2,2,2,"25-34","1-2 years","Under 3000","11-20","2-3 years",0
1235,"No",32,"Research & Development","Research Scientist","Female","Single","Travel_Frequently",2,2,"Life Sciences",4,3,2,3,4998,4,"Yes",14,3,4,0,10,2,3,8,7,0,7,"25-34","6-10 years","3000-4999","1-5","0-1 years",0
1237,"No",36,"Research & Development","Manufacturing Director","Female","Divorced","Travel_Rarely",1,3,"Technical Degree",3,1,3,1,10252,2,"Yes",21,4,3,1,17,2,3,7,7,7,7,"35-44","6-10 years","10000+","1-5","6+ years",0
1238,"No",33,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",9,3,"Medical",1,3,1,4,2781,0,"No",13,3,2,1,15,5,3,14,10,4,10,"25-34","10+ years","Under 3000","6-10","4-5 years",0
1239,"No",40,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",10,3,"Technical Degree",2,2,2,2,6852,7,"No",12,3,2,1,7,2,4,5,1,1,3,"35-44","3-5 years","5000-6999","6-10","0-1 years",0
1240,"No",25,"Sales","Sales Executive","Male","Single","Travel_Rarely",10,4,"Life Sciences",3,3,2,4,4950,0,"No",14,3,2,0,5,4,3,4,3,1,1,"25-34","3-5 years","3000-4999","6-10","0-1 years",0
1241,"No",30,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",1,3,"Medical",4,3,1,2,3579,0,"Yes",21,4,1,1,12,2,3,11,9,5,7,"25-34","10+ years","3000-4999","1-5","4-5 years",0
1242,"No",42,"Research & Development","Research Director","Female","Married","Travel_Frequently",26,5,"Medical",1,3,3,1,13191,3,"Yes",17,3,3,0,20,6,3,1,0,0,0,"35-44","1-2 years","10000+","21+","0-1 years",0
1243,"No",35,"Sales","Sales Executive","Female","Married","Non-Travel",8,2,"Marketing",3,2,3,4,10377,4,"Yes",11,3,2,1,16,6,2,13,2,4,12,"35-44","10+ years","10000+","6-10","4-5 years",0
1244,"No",27,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",14,3,"Life Sciences",1,3,1,1,2235,1,"Yes",14,3,4,2,9,3,2,9,7,6,8,"25-34","6-10 years","Under 3000","11-20","6+ years",0
1245,"No",54,"Research & Development","Manufacturing Director","Female","Divorced","Travel_Frequently",1,4,"Life Sciences",4,3,3,3,10502,7,"No",17,3,1,1,33,2,1,5,4,1,4,"45-54","3-5 years","10000+","1-5","0-1 years",0
1246,"No",44,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",2,1,"Life Sciences",1,4,1,4,2011,1,"No",13,3,4,1,10,5,3,10,5,7,7,"35-44","6-10 years","Under 3000","1-5","6+ years",0
1248,"Yes",19,"Research & Development","Research Scientist","Female","Single","Non-Travel",10,3,"Medical",1,2,1,2,1859,1,"Yes",25,4,2,0,1,2,4,1,1,0,0,"Under 25","1-2 years","Under 3000","6-10","0-1 years",1
1249,"No",29,"Research & Development","Research Scientist","Female","Divorced","Travel_Rarely",1,3,"Life Sciences",1,3,1,4,3760,1,"No",15,3,1,3,3,5,3,3,2,1,2,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
1250,"No",54,"Research & Development","Research Director","Male","Married","Travel_Rarely",3,3,"Life Sciences",4,3,4,4,17779,3,"No",14,3,1,0,36,2,3,10,9,0,9,"45-54","6-10 years","10000+","1-5","0-1 years",0
1251,"No",31,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",11,2,"Medical",3,3,2,1,6833,1,"Yes",12,3,4,0,6,2,2,6,5,0,1,"25-34","6-10 years","5000-6999","11-20","0-1 years",0
1252,"No",31,"Research & Development","Healthcare Representative","Female","Single","Travel_Rarely",24,3,"Medical",3,2,2,1,6812,1,"No",19,3,2,0,10,2,3,10,9,1,8,"25-34","6-10 years","5000-6999","21+","0-1 years",0
1254,"No",59,"Sales","Sales Executive","Female","Single","Travel_Rarely",3,3,"Life Sciences",3,2,2,4,5171,5,"No",17,3,4,0,13,2,3,6,1,0,5,"55+","6-10 years","5000-6999","1-5","0-1 years",0
1255,"No",43,"Research & Development","Research Director","Male","Married","Travel_Rarely",3,3,"Life Sciences",3,1,5,4,19740,3,"No",14,3,2,1,25,2,3,8,7,0,7,"35-44","6-10 years","10000+","1-5","0-1 years",0
1256,"No",49,"Research & Development","Manager","Male","Married","Travel_Rarely",4,2,"Medical",1,2,5,3,18711,2,"No",13,3,3,1,23,2,4,1,0,0,0,"45-54","1-2 years","10000+","1-5","0-1 years",0
1257,"No",36,"Research & Development","Research Scientist","Male","Married","Travel_Frequently",3,3,"Technical Degree",3,3,1,2,3692,1,"No",12,3,3,0,12,2,2,11,10,0,7,"35-44","10+ years","3000-4999","1-5","0-1 years",0
1258,"No",48,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",2,2,"Technical Degree",4,4,1,2,2559,5,"No",11,3,3,0,7,4,2,1,0,0,0,"45-54","1-2 years","Under 3000","1-5","0-1 years",0
1259,"No",27,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",4,2,"Life Sciences",1,3,1,3,2517,1,"No",11,3,2,3,5,2,3,5,3,0,3,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
1260,"No",29,"Research & Development","Healthcare Representative","Male","Divorced","Travel_Rarely",7,3,"Life Sciences",3,3,2,4,6623,1,"Yes",11,3,2,2,6,2,3,6,0,1,0,"25-34","6-10 years","5000-6999","6-10","0-1 years",0
1263,"No",48,"Research & Development","Research Director","Male","Single","Travel_Rarely",1,3,"Life Sciences",4,2,5,4,18265,6,"No",12,3,3,0,25,3,4,1,0,0,0,"45-54","1-2 years","10000+","1-5","0-1 years",0
1264,"No",29,"Research & Development","Research Director","Female","Divorced","Travel_Rarely",1,3,"Life Sciences",4,2,4,4,16124,3,"No",14,3,2,2,9,2,2,7,7,1,7,"25-34","6-10 years","10000+","1-5","0-1 years",0
1265,"No",34,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",20,3,"Technical Degree",3,4,1,3,2585,0,"No",17,3,4,0,2,5,2,1,0,0,0,"25-34","1-2 years","Under 3000","11-20","0-1 years",0
1267,"No",44,"Sales","Manager","Male","Married","Travel_Rarely",5,3,"Marketing",2,3,5,2,18213,7,"No",11,3,3,1,26,5,3,22,9,3,10,"35-44","10+ years","10000+","1-5","2-3 years",0
1268,"No",33,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",10,5,"Marketing",4,4,3,3,8380,0,"Yes",14,3,4,2,10,3,3,9,8,0,8,"25-34","6-10 years","7000-9999","6-10","0-1 years",0
1269,"No",19,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",25,3,"Life Sciences",2,4,1,4,2994,1,"Yes",12,3,4,0,1,2,3,1,0,0,1,"Under 25","1-2 years","Under 3000","21+","0-1 years",0
1270,"No",23,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",1,2,"Life Sciences",4,3,1,3,1223,1,"No",22,4,4,1,1,2,3,1,0,0,1,"Under 25","1-2 years","Under 3000","1-5","0-1 years",0
1273,"Yes",25,"Sales","Sales Representative","Male","Single","Travel_Frequently",24,1,"Life Sciences",3,1,1,4,1118,1,"Yes",14,3,4,0,1,4,3,1,0,1,0,"25-34","1-2 years","Under 3000","21+","0-1 years",1
1275,"No",26,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",4,2,"Life Sciences",3,3,1,4,2875,1,"Yes",20,4,2,0,8,2,2,8,5,2,2,"25-34","6-10 years","Under 3000","1-5","2-3 years",0
1277,"Yes",45,"Sales","Manager","Female","Single","Travel_Rarely",2,3,"Marketing",1,1,5,2,18824,2,"Yes",16,3,1,0,26,2,3,24,10,1,11,"45-54","10+ years","10000+","1-5","0-1 years",1
1278,"No",55,"Research & Development","Healthcare Representative","Male","Divorced","Non-Travel",8,1,"Medical",4,2,4,2,13577,1,"Yes",15,3,4,1,34,3,3,33,9,15,0,"55+","10+ years","10000+","6-10","6+ years",0
1279,"Yes",21,"Research & Development","Laboratory Technician","Female","Single","Travel_Frequently",10,2,"Life Sciences",1,2,1,3,2625,1,"No",20,4,3,0,2,2,1,2,2,2,2,"Under 25","1-2 years","Under 3000","6-10","2-3 years",1
1280,"No",46,"Sales","Manager","Female","Married","Travel_Rarely",4,2,"Marketing",4,2,5,2,18789,2,"No",14,3,3,1,26,2,3,11,4,0,8,"45-54","10+ years","10000+","1-5","0-1 years",0
1281,"No",34,"Sales","Sales Executive","Female","Single","Travel_Rarely",2,3,"Marketing",3,3,2,1,4538,0,"Yes",12,3,4,0,4,3,3,3,2,0,2,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
1282,"No",51,"Sales","Manager","Male","Divorced","Travel_Frequently",9,3,"Life Sciences",4,3,5,2,19847,4,"Yes",24,4,1,1,31,5,2,29,10,11,10,"45-54","10+ years","10000+","6-10","6+ years",0
1283,"No",59,"Research & Development","Manufacturing Director","Male","Single","Travel_Rarely",18,4,"Medical",4,3,3,4,10512,6,"No",12,3,4,0,25,6,2,9,7,5,4,"55+","6-10 years","10000+","11-20","4-5 years",0
1285,"No",34,"Research & Development","Laboratory Technician","Female","Divorced","Travel_Frequently",19,3,"Medical",3,3,2,2,4444,4,"No",13,3,3,2,15,2,4,11,8,5,10,"25-34","10+ years","3000-4999","11-20","4-5 years",0
1286,"No",28,"Research & Development","Laboratory Technician","Male","Single","Travel_Frequently",1,4,"Medical",4,3,1,3,2154,0,"Yes",11,3,3,0,5,2,2,4,2,0,2,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
1288,"No",44,"Research & Development","Manager","Male","Divorced","Travel_Rarely",4,2,"Life Sciences",3,4,5,1,19190,1,"No",14,3,4,2,26,4,2,25,9,14,13,"35-44","10+ years","10000+","1-5","6+ years",0
1289,"No",34,"Human Resources","Human Resources","Male","Married","Travel_Frequently",11,3,"Life Sciences",3,2,2,2,4490,4,"No",11,3,4,2,14,5,4,10,9,1,8,"25-34","6-10 years","3000-4999","11-20","0-1 years",0
1291,"No",35,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",6,1,"Life Sciences",3,3,1,3,3506,0,"Yes",14,3,4,0,4,3,3,3,2,2,2,"35-44","3-5 years","3000-4999","6-10","2-3 years",0
1292,"No",42,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",7,4,"Medical",2,4,2,2,2372,6,"Yes",16,3,4,0,18,2,3,1,0,0,0,"35-44","1-2 years","Under 3000","6-10","0-1 years",0
1293,"No",43,"Sales","Sales Executive","Female","Single","Travel_Rarely",4,4,"Marketing",4,2,3,4,10231,3,"No",14,3,4,0,23,3,4,21,7,15,17,"35-44","10+ years","10000+","1-5","6+ years",0
1294,"No",36,"Research & Development","Manufacturing Director","Female","Single","Travel_Rarely",2,4,"Life Sciences",3,3,2,2,5410,9,"Yes",11,3,4,0,18,2,3,16,14,5,12,"35-44","10+ years","5000-6999","1-5","4-5 years",0
1295,"Yes",44,"Research & Development","Healthcare Representative","Female","Married","Travel_Rarely",15,3,"Medical",1,3,3,4,7978,1,"No",11,3,4,1,10,2,3,10,7,0,5,"35-44","6-10 years","7000-9999","11-20","0-1 years",1
1296,"No",28,"Research & Development","Laboratory Technician","Male","Married","Travel_Frequently",2,3,"Life Sciences",4,2,1,4,3867,1,"Yes",12,3,2,1,2,2,3,2,2,2,2,"25-34","1-2 years","3000-4999","1-5","2-3 years",0
1297,"No",51,"Research & Development","Laboratory Technician","Female","Single","Travel_Frequently",6,2,"Medical",2,2,1,3,2838,0,"No",14,3,2,0,8,6,2,7,0,7,7,"45-54","6-10 years","Under 3000","6-10","6+ years",0
1298,"No",30,"Research & Development","Manufacturing Director","Female","Single","Non-Travel",9,2,"Medical",3,3,2,3,4695,7,"Yes",18,3,3,0,10,3,3,8,4,1,7,"25-34","6-10 years","3000-4999","6-10","0-1 years",0
1299,"Yes",29,"Research & Development","Laboratory Technician","Female","Divorced","Travel_Rarely",7,3,"Technical Degree",2,3,1,3,3339,3,"Yes",13,3,1,2,10,2,3,7,7,7,7,"25-34","6-10 years","3000-4999","6-10","6+ years",1
1301,"No",28,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",1,3,"Technical Degree",4,3,1,1,2080,2,"No",11,3,2,0,5,2,2,3,2,1,2,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
1303,"No",25,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",1,3,"Medical",4,3,1,2,2096,1,"No",18,3,4,0,2,3,2,2,2,2,1,"25-34","1-2 years","Under 3000","1-5","2-3 years",0
1304,"No",32,"Sales","Sales Executive","Male","Married","Travel_Rarely",8,3,"Medical",3,4,2,4,6209,1,"No",15,3,3,2,10,4,4,10,7,0,8,"25-34","6-10 years","5000-6999","6-10","0-1 years",0
1306,"No",45,"Research & Development","Manager","Female","Single","Travel_Frequently",25,3,"Medical",2,3,5,2,18061,3,"No",22,4,3,0,22,4,3,0,0,0,0,"45-54","Under 1 year","10000+","21+","0-1 years",0
